f3_0.1;f3_0.2;f3_0.3;f3_0.4;f3_0.5;f3_0.6;f3_0.7;f3_0.8;f3_0.9;f3_1.0
0.3328527;0.33244547;0.3326882;0.33286554;0.33272135;0.3326324;0.33288407;0.332959;0.3326514;0.33300778
0.33306292;0.3328729;0.33170772;0.33169988;0.3318161;0.33177814;0.33172858;0.3306704;0.33069897;0.33074525
0.33292538;0.3328059;0.33239746;0.332547;0.33233047;0.3323448;0.332475;0.33233264;0.33196175;0.3319587
0.33285454;0.33259687;0.30991596;0.30978903;0.30964565;0.3099186;0.3098853;0.28549978;0.28549513;0.28547147
0.33256242;0.3326548;0.3318437;0.33184722;0.331881;0.33203515;0.33191377;0.3312146;0.33105564;0.331105
0.33261812;0.33271736;0.33264062;0.33270773;0.33263355;0.33260387;0.3324973;0.3325715;0.33237806;0.3325616
0.33187;0.33108142;0.3309986;0.3305264;0.3299844;0.32979846;0.32942483;0.32941586;0.32932773;0.32907954
0.32787266;0.32265806;0.3225066;0.31684706;0.31184116;0.3064311;0.30114895;0.30122715;0.29585287;0.2909241
0.33664694;0.34048042;0.340634;0.3453071;0.35014734;0.3557795;0.36097285;0.3611482;0.36879233;0.3764813
0.33267108;0.33176187;0.33159292;0.33186164;0.33161694;0.33087987;0.33091483;0.3308047;0.33021683;0.32998762
0.33255562;0.33246082;0.33224538;0.33243063;0.3325435;0.33225647;0.33237642;0.3321408;0.3318184;0.3323606
0.33257058;0.32050988;0.32034;0.32030484;0.3202379;0.30824625;0.30805373;0.3079766;0.29545385;0.29563433
0.33205652;0.33171684;0.33149347;0.33109525;0.33057898;0.33030346;0.3295565;0.3289979;0.32798645;0.32709706
0.33230937;0.3319682;0.33131507;0.33101696;0.33041838;0.32997385;0.32941476;0.32923406;0.32876098;0.32871738
0.33231822;0.33189496;0.33137178;0.33093756;0.33053017;0.32977098;0.32941163;0.32926148;0.32857347;0.32775116
0.33156264;0.33164775;0.3318342;0.33094493;0.3299594;0.33032092;0.3303009;0.32952824;0.3290223;0.32930812
0.32558134;0.3254491;0.3255706;0.31804144;0.31097344;0.31110647;0.3112921;0.30382544;0.29704264;0.2969159
0.33237466;0.3321911;0.331618;0.33176714;0.33127922;0.33084634;0.3306565;0.33005062;0.32962164;0.3288819
